start_t,stop_t,server,count
40320,40321,4,1
40320,40321,4,1
40320,40321,4,1
40320,40321,4,1
40320,40321,4,1
40320,40321,1,1
40320,40321,4,1
40320,40325,7,1
40320,40321,4,1
40320,40321,1,1
40320,40321,4,1
40320,40321,3,1
40320,40321,4,1
40320,40321,4,1
40320,40321,3,1
40320,40321,1,1
40320,40321,3,1
40320,40321,1,1
40320,40321,3,1
40320,40321,1,1
40320,40321,3,1
40320,40321,1,1
40320,40321,3,1
40320,40321,1,1
40320,40321,13,1
40320,40321,1,1
40320,40321,13,1
40320,40321,1,1
40320,40321,13,1
40320,40321,1,1
40320,40321,13,1
40320,40321,1,1
40320,40321,13,1
40320,40321,1,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,13,1
40320,40321,9,1
40320,40321,14,1
40320,40321,14,1
40320,40321,14,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,2
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
40320,40321,1,1
