start_t,server_id,count
43200,2,8
43200,4,2
43200,5,4
43200,6,5
43200,7,151
43200,9,3
43260,1,331
43260,11,8
43260,12,99
43260,13,15
43260,14,2
43260,2,3
43260,4,4
43260,5,6
43260,6,4
43260,7,211
43260,9,1
43320,1,225
43320,10,1
43320,11,3
43320,12,7
43320,13,11
43320,14,4
43320,2,178
43320,3,1
43320,4,8
43320,6,2
43320,7,84
43320,9,5
43380,1,113
43380,10,3
43380,12,19
43380,13,60
43380,14,14
43380,2,10
43380,3,10
43380,4,19
43380,5,2
43380,6,9
43380,7,381
43380,9,9
43440,1,41
43440,10,4
43440,13,54
43440,14,1
43440,2,9
43440,4,32
43440,6,4
43440,7,414
43440,9,1
43500,1,30
43500,10,14
43500,13,35
43500,2,20
43500,3,2
43500,4,20
43500,6,4
43500,7,228
43500,9,1
43560,1,30
43560,10,4
43560,13,39
43560,2,9
43560,4,10
43560,6,1
43560,7,82
43620,1,12
43620,13,16
43620,14,1
43620,2,9
43620,4,7
43620,7,105
43680,1,17
43680,10,1
43680,12,15
43680,13,39
43680,14,3
43680,2,14
43680,4,12
43680,7,55
43740,1,7
43740,10,15
43740,13,23
43740,2,5
43740,4,11
43740,7,23
43800,1,6
43800,10,2
43800,12,6
43800,13,3
43800,2,15
43800,4,6
43800,7,73
43860,1,8
43860,12,14
43860,13,12
43860,14,1
43860,2,56
43860,4,4
43860,6,1
43860,7,74
43920,1,31
43920,10,4
43920,11,2
43920,13,22
43920,14,43
43920,2,19
43920,4,16
43920,7,79
43980,1,54
43980,10,2
43980,11,7
43980,12,1
43980,13,39
43980,14,39
43980,2,10
43980,4,19
43980,6,1
43980,7,234
43980,9,2
44040,1,139
44040,11,19
44040,12,4
44040,13,4
44040,14,121
44040,2,2
44040,3,1
44040,4,29
44040,5,5
44040,6,4
44040,7,511
44040,9,7
44100,1,49
44100,11,1
44100,12,6
44100,13,14
44100,14,91
44100,2,3
44100,3,3
44100,4,5
44100,5,3
44100,7,295
44100,9,7
44160,1,56
44160,11,2
44160,12,1
44160,13,64
44160,14,181
44160,2,1
44160,3,20
44160,4,4
44160,5,6
44160,7,267
44160,9,1
44220,1,62
44220,10,8
44220,11,2
44220,12,399
44220,13,99
44220,14,46
44220,2,3
44220,3,3
44220,4,2
44220,7,255
44220,9,4
44280,1,167
44280,10,11
44280,11,12
44280,12,14
44280,13,72
44280,14,40
44280,2,27
44280,3,13
44280,4,8
44280,6,1
44280,7,396
44280,9,19
44340,1,103
44340,10,5
44340,11,1
44340,12,4
44340,13,105
44340,14,49
44340,2,8
44340,4,28
44340,6,17
44340,7,364
44340,9,16
44400,1,222
44400,10,40
44400,12,16
44400,13,77
44400,14,46
44400,2,20
44400,4,57
44400,6,45
44400,7,364
44400,9,3
44460,1,171
44460,10,9
44460,11,3
44460,12,40
44460,13,10
44460,14,4
44460,2,14
44460,3,3
44460,4,18
44460,6,13
44460,7,278
44460,9,8
44520,1,265
44520,10,41
44520,11,8
44520,12,31
44520,13,69
44520,14,31
44520,2,24
44520,4,11
44520,6,12
44520,7,333
44520,9,15
44580,1,213
44580,10,8
44580,11,1
44580,12,14
44580,13,26
44580,14,60
44580,2,3
44580,4,19
44580,6,4
44580,7,366
44580,9,20
44640,1,136
44640,10,2
44640,11,1
44640,12,12
44640,13,47
44640,14,71
44640,2,20
44640,3,5
44640,4,46
44640,5,4
44640,7,438
44640,9,11
44700,1,100
44700,10,17
44700,12,78
44700,13,74
44700,14,16
44700,2,2
44700,3,3
44700,4,3
44700,5,4
44700,6,5
44700,7,441
44700,9,7
44760,1,93
44760,10,5
44760,11,1
44760,12,30
44760,13,38
44760,14,6
44760,2,2
44760,4,2
44760,6,4
44760,7,353
44760,9,1
44820,1,353
44820,10,20
44820,12,34
44820,13,28
44820,14,5
44820,2,6
44820,4,3
44820,7,238
44820,9,1
44880,1,270
44880,10,29
44880,12,238
44880,13,49
44880,14,7
44880,2,4
44880,4,5
44880,5,2
44880,6,40
44880,7,204
44940,1,174
44940,10,11
44940,12,12
44940,13,9
44940,14,21
44940,2,8
44940,4,14
44940,6,30
44940,7,69
45000,1,96
45000,10,1
45000,13,21
45000,2,55
45000,6,3
45000,7,133
45060,1,97
45060,13,10
45060,2,10
45060,7,190
45120,1,76
45120,11,1
45120,12,1
45120,13,30
45120,14,5
45120,2,15
45120,4,2
45120,7,212
45180,1,175
45180,10,2
45180,11,10
45180,13,17
45180,14,11
45180,2,13
45180,4,2
45180,7,113
45240,1,152
45240,10,5
45240,11,2
45240,13,6
45240,14,2
45240,2,7
45240,4,9
45240,5,1
45240,7,61
45300,1,55
45300,13,4
45300,14,16
45300,2,1
45300,4,3
45300,7,22
45360,1,68
45360,10,3
45360,11,4
45360,12,25
45360,13,14
45360,14,4
45360,2,11
45360,4,21
45360,7,77
45420,1,179
45420,10,7
45420,12,38
45420,13,13
45420,14,12
45420,2,12
45420,4,39
45420,5,1
45420,7,197
45420,9,3
45480,1,401
45480,10,9
45480,11,1
45480,12,7
45480,13,32
45480,14,1
45480,2,20
45480,4,26
45480,7,391
45480,9,2
45540,1,260
45540,10,12
45540,11,8
45540,13,42
45540,14,30
45540,2,7
45540,3,1
45540,4,7
45540,7,291
45540,9,10
45600,1,507
45600,10,7
45600,11,2
45600,12,1
45600,13,53
45600,14,13
45600,2,10
45600,4,12
45600,5,1
45600,6,1
45600,7,282
45600,9,14
45660,1,378
45660,10,23
45660,12,4
45660,13,61
45660,14,22
45660,2,4
45660,3,1
45660,4,13
45660,5,1
45660,7,307
45660,9,4
45720,1,319
45720,10,9
45720,11,1
45720,12,13
45720,13,52
45720,14,21
45720,3,1
45720,4,30
45720,5,3
45720,6,6
45720,7,327
45720,9,5
45780,1,236
45780,10,53
45780,12,69
45780,13,52
45780,14,36
45780,2,6
45780,4,7
45780,5,17
45780,6,4
45780,7,321
45780,9,9
45840,1,218
45840,10,6
45840,12,99
45840,13,47
45840,14,59
45840,3,1
45840,4,6
45840,5,8
45840,7,324
45840,9,15
45900,1,108
45900,10,6
45900,11,1
45900,12,41
45900,13,95
45900,14,24
45900,4,8
45900,5,4
45900,7,325
45900,9,10
45960,1,193
45960,10,25
45960,13,13
45960,14,3
45960,2,2
45960,4,33
45960,6,2
45960,7,513
45960,9,52
46020,1,196
46020,10,13
46020,11,1
46020,12,18
46020,13,3
46020,14,4
46020,2,7
46020,4,7
46020,7,382
46020,9,4
46080,1,281
46080,10,50
46080,12,47
46080,14,9
46080,2,18
46080,4,17
46080,5,3
46080,7,372
46140,1,261
46140,10,10
46140,12,18
46140,14,3
46140,2,18
46140,4,12
46140,6,1
46140,7,227
46140,9,8
46200,1,317
46200,10,15
46200,11,1
46200,12,13
46200,14,3
46200,3,4
46200,4,5
46200,5,3
46200,6,6
46200,7,223
46260,1,212
46260,10,4
46260,12,9
46260,14,4
46260,2,20
46260,4,7
46260,5,1
46260,6,2
46260,7,170
46320,1,205
46320,2,5
46320,4,5
46320,6,11
46320,7,115
46380,1,222
46380,12,5
46380,14,1
46380,2,3
46380,4,2
46380,7,105
46380,9,2
46440,1,87
46440,4,1
46440,7,44
46440,9,5
46500,1,158
46500,12,1
46500,13,1
46500,2,16
46500,3,1
46500,4,6
46500,7,86
46560,1,79
46560,10,2
46560,13,1
46560,14,2
46560,2,102
46560,4,8
46560,7,70
46560,9,3
46620,1,58
46620,10,1
46620,12,4
46620,2,2
46620,4,7
46620,7,35
46680,1,26
46680,13,2
46680,14,1
46680,2,1
46680,4,7
46680,7,16
46740,1,42
46740,11,1
46740,13,1
46740,2,2
46740,4,1
46740,6,4
46740,7,1
46800,1,45
46800,11,11
46800,12,5
46800,13,10
46800,4,10
46800,6,1
46800,7,43
46860,1,69
46860,11,13
46860,12,12
46860,13,2
46860,2,2
46860,4,4
46860,6,1
46860,7,29
46920,1,114
46920,11,3
46920,13,5
46920,14,2
46920,4,1
46920,7,135
46980,1,181
46980,10,3
46980,11,1
46980,12,14
46980,13,6
46980,14,4
46980,4,12
46980,7,98
46980,9,1
47040,1,340
47040,10,1
47040,12,6
47040,13,1
47040,14,10
47040,2,18
47040,4,26
47040,7,44
47040,9,1
47100,1,295
47100,10,1
47100,11,14
47100,12,28
47100,13,6
47100,14,11
47100,4,10
47100,7,145
47100,9,2
47160,1,436
47160,11,2
47160,12,10
47160,13,4
47160,14,3
47160,4,11
47160,7,217
47220,1,281
47220,11,19
47220,12,19
47220,13,2
47220,14,3
47220,4,5
47220,6,1
47220,7,282
47220,9,4
47280,1,304
47280,11,3
47280,12,2
47280,13,11
47280,14,2
47280,4,16
47280,5,7
47280,6,5
47280,7,297
47280,9,3
47340,1,395
47340,10,6
47340,11,3
47340,12,547
47340,13,10
47340,14,1
47340,2,1
47340,4,22
47340,6,1
47340,7,335
47340,9,18
47400,1,397
47400,10,3
47400,11,1
47400,12,37
47400,13,18
47400,14,13
47400,2,3
47400,4,12
47400,5,3
47400,6,18
47400,7,218
47400,9,57
47460,1,553
47460,10,20
47460,12,11
47460,13,33
47460,14,28
47460,4,4
47460,6,14
47460,7,394
47460,9,13
47520,1,383
47520,10,10
47520,12,38
47520,13,67
47520,14,20
47520,2,1
47520,4,8
47520,5,4
47520,6,13
47520,7,285
47580,1,465
47580,10,5
47580,11,3
47580,12,130
47580,13,56
47580,14,22
47580,2,15
47580,4,4
47580,5,3
47580,7,307
47580,9,28
47640,1,210
47640,10,3
47640,12,15
47640,13,19
47640,14,33
47640,2,17
47640,3,1
47640,4,11
47640,5,4
47640,7,205
47640,9,28
47700,1,63
47700,10,2
47700,12,1
47700,13,14
47700,14,4
47700,2,3
47700,4,2
47700,7,100
47700,9,13
47760,1,23
47760,10,1
47760,13,24
47760,14,3
47760,2,35
47760,6,1
47760,7,145
47760,9,1
47820,1,9
47820,10,2
47820,13,6
47820,14,1
47820,2,35
47820,7,90
47820,9,4
47880,1,4
47880,10,1
47880,13,4
47880,2,28
47880,7,162
47940,1,2
47940,13,4
47940,7,49
48000,1,14
48000,10,1
48000,14,4
48000,2,1
48000,7,50
48000,9,2
48060,1,3
48060,2,7
48060,7,17
48120,1,1
48120,2,8
48120,4,4
48120,7,12
48180,1,7
48180,2,6
48180,4,7
48180,7,17
48180,9,1
48240,1,8
48240,13,1
48240,14,2
48240,2,5
48240,4,4
48240,7,16
48300,1,14
48300,10,2
48300,14,6
48300,2,1
48300,4,14
48300,7,33
48300,9,1
48360,1,36
48360,10,1
48360,11,7
48360,13,1
48360,14,21
48360,2,5
48360,4,8
48360,7,47
48360,9,1
48420,1,48
48420,11,7
48420,13,6
48420,14,23
48420,2,17
48420,4,16
48420,5,3
48420,7,82
48420,9,3
48480,1,85
48480,10,1
48480,11,3
48480,13,3
48480,14,15
48480,2,1
48480,4,16
48480,5,2
48480,7,16
48480,9,5
48540,1,28
48540,11,77
48540,13,15
48540,14,9
48540,2,3
48540,4,1
48540,5,15
48540,7,63
48600,1,43
48600,11,3
48600,13,12
48600,14,4
48600,4,7
48600,5,2
48600,7,95
48600,9,2
48660,1,82
48660,10,12
48660,11,10
48660,13,7
48660,14,4
48660,2,3
48660,4,10
48660,5,1
48660,7,122
48720,1,60
48720,10,2
48720,11,3
48720,13,7
48720,14,46
48720,2,4
48720,4,9
48720,5,1
48720,6,2
48720,7,194
48720,9,8
48780,1,189
48780,10,1
48780,11,2
48780,13,46
48780,14,6
48780,2,27
48780,4,3
48780,6,17
48780,7,324
48780,9,16
48840,1,101
48840,10,7
48840,11,5
48840,12,2
48840,13,7
48840,14,10
48840,2,5
48840,4,10
48840,5,8
48840,6,11
48840,7,286
48840,9,32
48900,1,142
48900,10,3
48900,12,2
48900,13,21
48900,14,14
48900,2,17
48900,4,11
48900,5,3
48900,6,10
48900,7,228
48900,9,10
48960,1,359
48960,10,28
48960,12,2
48960,13,15
48960,14,5
48960,4,7
48960,7,163
48960,9,9
49020,1,296
49020,10,9
49020,12,1
49020,13,20
49020,14,8
49020,2,2
49020,4,6
49020,5,4
49020,6,9
49020,7,267
49020,9,7
49080,1,198
49080,10,2
49080,11,2
49080,13,20
49080,14,12
49080,2,3
49080,4,3
49080,5,1
49080,6,5
49080,7,190
49080,9,3
49140,1,83
49140,12,2
49140,13,24
49140,14,4
49140,2,5
49140,4,5
49140,6,15
49140,7,162
49200,1,67
49200,10,5
49200,11,12
49200,12,2
49200,13,5
49200,2,46
49200,4,2
49200,6,1
49200,7,189
49260,1,8
49260,12,4
49260,13,8
49260,2,21
49260,6,2
49260,7,85
49320,1,7
49320,12,1
49320,13,3
49320,2,9
49320,4,1
49320,5,1
49320,7,60
49380,1,4
49380,13,5
49380,2,3
49380,4,3
49380,7,60
49380,9,1
49440,1,9
49440,12,4
49440,13,1
49440,14,2
49440,2,2
49440,4,8
49440,7,28
49440,9,4
49500,13,3
49500,2,16
49500,4,4
49500,7,60
49560,1,6
49560,13,1
49560,2,11
49560,6,2
49560,7,3
49620,1,9
49620,13,3
49620,2,9
49620,4,14
49620,7,19
49680,1,12
49680,13,3
49680,14,4
49680,2,22
49680,4,28
49680,5,4
49680,7,26
49740,1,50
49740,10,2
49740,13,8
49740,14,16
49740,2,3
49740,4,16
49740,7,93
49800,1,21
49800,11,1
49800,13,10
49800,14,5
49800,2,14
49800,4,31
49800,7,50
49860,1,30
49860,10,5
49860,11,6
49860,12,3
49860,13,11
49860,14,5
49860,2,5
49860,4,29
49860,5,1
49860,7,36
49920,1,28
49920,10,15
49920,11,2
49920,12,1
49920,13,8
49920,14,4
49920,2,2
49920,4,20
49920,7,82
49920,9,1
49980,1,15
49980,11,5
49980,13,12
49980,14,22
49980,2,7
49980,4,84
49980,5,1
49980,7,163
49980,9,2
50040,1,24
